\מבינהאני לא מבין,I don't understand
זה לא עובד,It doesn't work
אין לי זמן,I have no time
אני צריך\צריכה עזרה,I need help
איפה זה נִמצָא,Where is it
ָכָּמה זה עולֶה,How much is it
אני מסכים\מסכימה,I agree
אני לא מסכים,I disagree
זה חשוב לי,It's important to me
אין בּעָיָה,No problem
אני עָיֶיף\עיֶפָה,I am tired
אני רָעֶב\רעֶבָה,I am hungry
אני צָמֶא\צמֶאָה,I am thirsty
אני ממָהֶר\ממָהֶרֶת,I am in a hurry
אני מאָחֶר\מאָחֶרֶת,I am late
בָּאתי מוּקדָם,I came early
זה בָּרוּר לי,It's clear to me
זה לא בָּרוּר לי,It's not clear to me
אני זוכֶר\זוכֶרֶת,I remember
אני מחָכֶּה\מחָכָּה לך,I am waiting for you
אני חוזר\חוזֶרֶת מָחָר,I will return tomorrow
אני צריך\צריכָה לָחשוב,I need to think
תן לי רגע,Give me a moment
אפשָר לָעָזור לך,Can I help you
תסביר לי שוּב,Explain again
זה בסדר,It's okay
אני מבין\מבינָה עכשיו,I understand now
אין לי מוּשָׂג,I have no idea
אני בּטוּח\בּטוּחָה,I'm sure
זה תָלוּי,It depends
בּוא נָתחיל,Let's start
נסֶיָים אָחָר כָּך,We'll finish later
